19:34:54  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome=96 in cache (valid until 20:22:17 28/11/2021 MSK)
19:34:54  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome96=96.0.4664.45 in cache (valid until 19:22:17 29/11/2021 MSK)
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']was found
19:35:50  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:35:50  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']was found
19:35:50  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .list-name-input
19:35:52  INFO  manager.MyListener - Element with locator--By.cssSelector: .list-name-inputwas found
19:35:52  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .list-name-input
19:35:52  INFO  manager.MyListener - Element with locator--By.cssSelector: .list-name-inputwas found
19:35:52  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: ._9Bfh6AVH84yAZe
19:35:52  INFO  manager.MyListener - Element with locator--By.cssSelector: ._9Bfh6AVH84yAZewas found
19:35:52  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .boards-page-board-section-list-item
19:35:53  INFO  manager.MyListener - Element with locator--By.cssSelector: .boards-page-board-section-list-itemwas found
19:35:53  INFO  manager.MyListener - Stert search element by locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//li
19:35:53  INFO  manager.MyListener - Element with locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//liwas found
19:35:53  INFO  test.TestBase - ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
19:35:53  INFO  manager.ApplicationManager - Tests passed
